#                      Published-Value                         |                      NED-Homogenized-Values                   
#      Spectral-axis           Intensity         Uncertainty   |          Spectral-axis           Intensity         Uncertainty
#         [Angstrom]      [erg/cm^2/s/A]      [erg/cm^2/s/A]   |                   [Hz]          [W/m^2/Hz]          [W/m^2/Hz]
           4242.7603           0.9072614                       |         7.06597681e+14      5.44764404e-15                    
           4246.8079           0.9042896                       |         7.05924228e+14      5.44016491e-15                    
           4250.8555           0.8774354                       |         7.05252058e+14      5.28867807e-15                    
            4254.903           0.8988909                       |         7.04581183e+14      5.42832207e-15                    
           4258.9506            0.920478                       |         7.03911567e+14      5.56926539e-15                    
           4262.9982           0.8726683                       |         7.03243222e+14      5.29003803e-15                    
           4267.0458           0.9092807                       |         7.02576145e+14      5.52245108e-15                    
           4271.0933           0.9665043                       |         7.01910349e+14      5.88113574e-15                    
           4275.1409           0.9213811                       |         7.01245798e+14      5.61719448e-15                    
           4279.1885           0.8650171                       |         7.00582503e+14      5.28356219e-15                    
            4283.236           0.8788556                       |         6.99920478e+14      5.37824805e-15                    
           4287.2836           0.8665167                       |         6.99259687e+14      5.31276563e-15                    
           4291.3312           0.8373731                       |         6.98600143e+14      5.14377981e-15                    
           4295.3788            0.793061                       |         6.97941842e+14      4.88077545e-15                    
           4299.4263           0.7832313                       |         6.97284796e+14      4.82936853e-15                    
           4303.4739           0.8011191                       |         6.96628970e+14      4.94896894e-15                    
           4307.5215           0.7913107                       |         6.95974376e+14      4.89757665e-15                    
           4311.5691           0.8288822                       |         6.95321012e+14      5.13975965e-15                    
           4315.6166           0.8418329                       |         6.94668889e+14      5.22987008e-15                    
           4319.6642           0.8772418                       |         6.94017973e+14      5.46007474e-15                    
           4323.7118           0.8680238                       |         6.93368274e+14      5.41283022e-15                    
           4327.7594           0.8598303                       |         6.92719792e+14      5.37178049e-15                    
           4331.8069             0.85166                       |         6.92072537e+14      5.33069363e-15                    
           4335.8545           0.8913968                       |         6.91426474e+14      5.58984501e-15                    
           4339.9021           0.8972256                       |         6.90781617e+14      5.63690632e-15                    
           4343.9497           0.9062364                       |         6.90137961e+14      5.70414259e-15                    
           4347.9972           0.8715844                       |         6.89495520e+14      5.49625983e-15                    
           4352.0448            0.888143                       |         6.88854258e+14      5.61111161e-15                    
           4356.0924           0.9054292                       |         6.88214187e+14      5.73096767e-15                    
             4360.14           0.9301409                       |         6.87575305e+14      5.89832781e-15                    
           4364.1875           0.9246829                       |         6.86937624e+14      5.87460843e-15                    
           4368.2351           0.9093871                       |         6.86301108e+14      5.78815421e-15                    
           4372.2827           0.9053019                       |         6.85665771e+14      5.77283569e-15                    
           4376.3303           0.8824513                       |         6.85031610e+14      5.63754768e-15                    
           4380.3778           0.8844296                       |         6.84398636e+14      5.66064218e-15                    
           4384.4254            0.859772                       |         6.83766815e+14      5.51299963e-15                    
            4388.473           0.8563722                       |         6.83136159e+14      5.50134293e-15                    
           4392.5206           0.8927678                       |         6.82506666e+14      5.74573282e-15                    
           4396.5681           0.9087431                       |         6.81878347e+14      5.85933098e-15                    
           4400.6157           0.9353237                       |         6.81251169e+14      6.04182473e-15                    
           4404.6633           0.9188612                       |         6.80625143e+14      5.94640713e-15                    
           4408.7109           0.9216679                       |         6.80000267e+14      5.97553782e-15                    
           4412.7584           0.9189961                       |         6.79376553e+14      5.96916061e-15                    
            4416.806           0.9211735                       |         6.78753966e+14      5.99428489e-15                    
           4420.8536           0.9160005                       |         6.78132519e+14      5.97155274e-15                    
           4424.9012           0.9163946                       |         6.77512210e+14      5.98506640e-15                    
           4428.9487           0.9507083                       |         6.76893049e+14      6.22053705e-15                    
           4432.9963            0.936367                       |         6.76275004e+14      6.13790458e-15                    
           4437.0439           0.9505559                       |         6.75658086e+14      6.24229672e-15                    
           4441.0915           0.9736475                       |         6.75042293e+14      6.40560996e-15                    
            4445.139            0.997014                       |         6.74427637e+14      6.57129924e-15                    
           4449.1866           0.9907641                       |         6.73814083e+14      6.54200390e-15                    
           4453.2342           0.9698344                       |         6.73201645e+14      6.41546222e-15                    
           4457.2818           0.9282628                       |         6.72590320e+14      6.15163312e-15                    
           4461.3293           0.9299753                       |         6.71980118e+14      6.17417977e-15                    
           4465.3769           0.9478924                       |         6.71371008e+14      6.30455706e-15                    
           4469.4245           0.9841565                       |         6.70763001e+14      6.55762641e-15                    
           4473.4721           0.9723616                       |         6.70156094e+14      6.49077510e-15                    
           4477.5196            0.954778                       |         6.69550300e+14      6.38493809e-15                    
           4481.5672           0.9742162                       |         6.68945584e+14      6.52671229e-15                    
           4485.6148           0.9954811                       |         6.68341961e+14      6.68122760e-15                    
           4489.6623           0.9999931                       |         6.67739440e+14      6.72362759e-15                    
           4493.7099            1.014356                       |         6.67137990e+14      6.83250192e-15                    
           4497.7575            1.050799                       |         6.66537622e+14      7.09073115e-15                    
           4501.8051            1.039295                       |         6.65938334e+14      7.02573090e-15                    
           4505.8526            1.032867                       |         6.65340138e+14      6.99483797e-15                    
           4509.9002            1.005009                       |         6.64743000e+14      6.81840995e-15                    
           4513.9478            1.020367                       |         6.64146934e+14      6.93503672e-15                    
           4517.9954            1.026502                       |         6.63551935e+14      6.98925144e-15                    
           4522.0429           0.9916973                       |         6.62958016e+14      6.76437666e-15                    
           4526.0905           0.9744467                       |         6.62365145e+14      6.65861419e-15                    
           4530.1381           0.9708738                       |         6.61773333e+14      6.64607075e-15                    
           4534.1857           0.9340621                       |         6.61182578e+14      6.40550910e-15                    
           4538.2332           0.9621029                       |         6.60592891e+14      6.60958872e-15                    
           4542.2808            0.990185                       |         6.60004241e+14      6.81465063e-15                    
           4546.3284           0.9859742                       |         6.59416638e+14      6.79776980e-15                    
            4550.376           0.9853944                       |         6.58830081e+14      6.80587477e-15                    
           4554.4235           0.9854988                       |         6.58244581e+14      6.81870998e-15                    
           4558.4711           0.9686388                       |         6.57660107e+14      6.71397266e-15                    
           4562.5187            1.001125                       |         6.57076669e+14      6.95147423e-15                    
           4566.5663           0.9881759                       |         6.56494266e+14      6.87373980e-15                    
           4570.6138           0.9917239                       |         6.55912908e+14      6.91065366e-15                    
           4574.6614            1.002742                       |         6.55332565e+14      6.99981256e-15                    
            4578.709            1.010057                       |         6.54753248e+14      7.06335874e-15                    
           4582.7566            1.014213                       |         6.54174954e+14      7.10496678e-15                    
           4586.8041           0.9835136                       |         6.53597696e+14      6.90208096e-15                    
           4590.8517           0.9775176                       |         6.53021440e+14      6.87211485e-15                    
           4594.8993           0.9944052                       |         6.52446201e+14      7.00317015e-15                    
           4598.9469           0.9696569                       |         6.51871973e+14      6.84091475e-15                    
           4602.9944            1.020905                       |         6.51298770e+14      7.21515258e-15                    
            4607.042            1.023726                       |         6.50726559e+14      7.24781955e-15                    
           4611.0896            1.039441                       |         6.50155354e+14      7.37201587e-15                    
           4615.1372            1.041394                       |         6.49585150e+14      7.39883938e-15                    
           4619.1847            1.046879                       |         6.49015959e+14      7.45086063e-15                    
           4623.2323            1.051374                       |         6.48447752e+14      7.49597207e-15                    
           4627.2799            1.045897                       |         6.47880538e+14      7.46998541e-15                    
           4631.3275            1.010419                       |         6.47314315e+14      7.22922573e-15                    
            4635.375            1.004087                       |         6.46749096e+14      7.19648440e-15                    
           4639.4226            0.990698                       |         6.46184849e+14      7.11292860e-15                    
           4643.4702            1.002636                       |         6.45621585e+14      7.21120622e-15                    
           4647.5178           0.9978272                       |         6.45059302e+14      7.18913696e-15                    
           4651.5653            0.965712                       |         6.44498012e+14      6.96987786e-15                    
           4655.6129              1.0026                       |         6.43937684e+14      7.24870994e-15                    
           4659.6605            1.020639                       |         6.43378330e+14      7.39196677e-15                    
           4663.7081           0.9854603                       |         6.42819946e+14      7.14959019e-15                    
           4667.7556           0.9620935                       |         6.42262545e+14      6.99218312e-15                    
           4671.8032           0.9996287                       |         6.41706095e+14      7.27758174e-15                    
           4675.8508            1.010956                       |         6.41150609e+14      7.37280656e-15                    
           4679.8984           0.9951613                       |         6.40596084e+14      7.27018770e-15                    
           4683.9459            1.005217                       |         6.40042531e+14      7.35635808e-15                    
           4687.9935            1.000061                       |         6.39489920e+14      7.33127969e-15                    
           4692.0411           0.9883995                       |         6.38938263e+14      7.25830858e-15                    
           4696.0886           0.9843299                       |         6.38387570e+14      7.24089979e-15                    
           4700.1362            0.974092                       |         6.37837812e+14      7.17794553e-15                    
           4704.1838           0.9816631                       |         6.37289000e+14      7.24620016e-15                    
           4708.2314           0.9796734                       |         6.36741132e+14      7.24396279e-15                    
           4712.2789           0.9956659                       |         6.36194218e+14      7.37487905e-15                    
           4716.3265            1.001012                       |         6.35648230e+14      7.42722028e-15                    
           4720.3741           0.9752575                       |         6.35103178e+14      7.24855489e-15                    
           4724.4217           0.9962838                       |         6.34559059e+14      7.41753622e-15                    
           4728.4692           0.9734468                       |         6.34015886e+14      7.25993356e-15                    
           4732.5168           0.9525989                       |         6.33473629e+14      7.11661874e-15                    
           4736.5644           0.9811922                       |         6.32932298e+14      7.34277593e-15                    
            4740.612            0.970186                       |         6.32391892e+14      7.27282474e-15                    
           4744.6595            1.023069                       |         6.31852421e+14      7.68235413e-15                    
